Unnamed: 0,match_id,player,batting_team,runs,balls_faced,fours,sixes,is_dismissed,dismissal_kind,inning,strike_rate,balls_bowled,runs_conceded,dot_balls,wickets,overs,economy,maidens,catches,run_outs,direct_run_out,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,fantasy_points,matchYear,matchMonth,matchDay,matchDayOfWeek,matchDayOfYear
101,1216496,SPD Smith,Rajasthan Royals,69.0,51.0,4.0,4.0,2.0,run outcaught,1.0,135.29411764705884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,119.0,2020,9,22,1,266
96,1216496,RA Jadeja,Chennai Super Kings,1.0,2.0,0.0,0.0,0.0,0,2.0,50.0,26.0,38.0,8.0,0.0,4.0,9.5,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,9.0,2020,9,22,1,266
94,1216496,R Parag,Rajasthan Royals,6.0,4.0,1.0,0.0,1.0,caught,1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,10.0,2020,9,22,1,266
93,1216496,PP Chawla,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,54.0,4.0,1.0,4.0,13.5,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,28.0,2020,9,22,1,266
92,1216496,MS Dhoni,Chennai Super Kings,29.0,17.0,0.0,3.0,0.0,0,2.0,170.58823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,61.0,2020,9,22,1,266
91,1216496,M Vijay,Chennai Super Kings,21.0,21.0,3.0,0.0,1.0,caught,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,33.0,2020,9,22,1,266
90,1216496,L Ngidi,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,28.0,52.0,9.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,63.0,2020,9,22,1,266
89,1216496,KM Jadhav,Chennai Super Kings,22.0,17.0,3.0,0.0,1.0,caught,2.0,129.41176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,42.0,2020,9,22,1,266
88,1216496,JD Unadkat,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,42.0,5.0,0.0,4.0,10.5,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,3.0,2020,9,22,1,266
95,1216496,R Tewatia,Rajasthan Royals,10.0,8.0,1.0,0.0,1.0,lbw,1.0,125.0,24.0,37.0,7.0,3.0,4.0,9.25,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,115.0,2020,9,22,1,266
363,1216508,SA Yadav,Mumbai Indians,47.0,28.0,6.0,1.0,0.0,0,1.0,167.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,81.0,2020,9,23,2,267
364,1216508,SP Narine,Kolkata Knight Riders,9.0,10.0,0.0,1.0,1.0,caught,2.0,90.0,24.0,22.0,8.0,2.0,4.0,5.5,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,87.0,2020,9,23,2,267
